session_label,year,gp,session_type,driver,best_lap_time_s,delta_to_session_best,n_laps,throttle_mean,throttle_pct_full,throttle_pct_off,brake_pct,brake_presses,rpm_mean,rpm_max,gear_mean,gear_changes,throttle_application_rate,quali_position,race_position,race_podium,dnf,podium
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,RUS,78.518,0.0,14,74.1844886606795,62.43386243386243,15.520282186948853,12.522045855379188,5,10881.992723759835,12166.0,5.666666666666667,32,1.4681978798586572,1,1,1,0,1
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,ANT,78.811,0.29300000000000637,11,74.36800159847952,61.44144144144145,12.612612612612612,13.333333333333334,8,10899.213360314254,12132.0,5.735135135135135,35,1.5126353790613718,2,2,1,0,1
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,HAD,79.303,0.7849999999999966,11,74.03565556939999,62.52158894645942,15.716753022452504,11.57167530224525,6,10799.143163263458,12326.0,6.122625215889465,41,1.434256055363322,3,20,0,1,0
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,LEC,79.327,0.8089999999999975,16,76.43919839787445,63.32179930795848,10.380622837370241,10.55363321799308,7,10835.152864018713,12300.0,5.92560553633218,35,1.3310225303292895,4,3,1,0,1
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,PIA,79.38,0.8619999999999948,16,73.93437849391866,56.22837370242214,13.84083044982699,10.207612456747404,6,10884.604061538199,12458.0,6.271626297577854,35,1.3604852686308493,5,21,0,1,0
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,NOR,79.475,0.9569999999999936,18,71.8644432292606,59.896729776247845,16.179001721170398,11.015490533562824,5,10817.982589475338,12731.0,6.282271944922547,34,1.6137931034482758,6,5,0,0,0
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,HAM,79.478,0.9599999999999937,18,75.74801156227558,60.273972602739725,13.184931506849315,11.301369863013697,7,10958.850000021415,12344.0,5.835616438356165,36,1.41852487135506,7,4,0,0,0
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,LIN,79.971,1.453000000000003,17,78.19311961420698,65.06622516556291,11.42384105960265,11.42384105960265,6,10962.27448146671,12245.0,5.821192052980132,31,1.296849087893864,8,8,0,0,0
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,LAW,79.994,1.475999999999999,16,76.19799328323224,62.11072664359861,15.22491349480969,14.53287197231834,7,11086.126397223541,12497.0,5.717993079584775,31,1.48526863084922,9,13,0,0,0
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,BOR,80.221,1.703000000000003,12,78.45554377720114,62.02321724709784,11.940298507462686,12.106135986733001,6,10750.792842419953,12433.0,5.5688225538971805,33,1.388704318936877,10,9,0,0,0
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,HUL,80.303,1.7849999999999966,13,78.96152734220097,64.39267886855241,11.148086522462561,13.311148086522461,7,10602.005491605323,12170.0,5.580698835274543,30,1.33,11,22,0,1,0
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,BEA,80.311,1.7930000000000064,13,75.68981438447301,62.23316912972086,15.10673234811166,11.658456486042693,6,10992.262804891756,12188.0,5.729064039408867,35,1.2713815789473684,12,7,0,0,0
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,OCO,80.491,1.972999999999999,12,75.00240819009767,61.274509803921575,13.88888888888889,14.215686274509803,9,10782.982375251358,12285.0,5.782679738562091,36,1.2831423895253682,13,11,0,0,0
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,GAS,80.501,1.983000000000004,14,73.94824937001289,61.65289256198348,14.545454545454545,14.214876033057852,10,10947.335129675272,12596.0,5.55702479338843,29,1.7102649006622517,14,10,0,0,0
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,ALB,80.941,2.423000000000002,13,70.77810670501046,52.700490998363335,19.476268412438625,13.420621931260229,7,10788.763365673005,12290.0,5.571194762684124,34,1.4032786885245903,15,12,0,0,0
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,COL,81.2,2.682000000000002,14,73.47331635690085,59.77742448330684,15.580286168521463,13.990461049284578,7,10866.566143737162,12348.0,5.548489666136725,38,1.3105095541401275,16,14,0,0,0
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,ALO,81.969,3.4509999999999934,8,75.2025396582633,64.19354838709678,14.677419354838708,12.096774193548388,7,10516.4902985461,11969.0,5.509677419354839,38,1.4733441033925687,17,18,0,1,0
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,PER,82.605,4.087000000000003,4,72.70979645205912,59.55766192733017,11.058451816745656,12.480252764612953,7,10560.785771062125,12225.0,5.679304897314376,28,1.4794303797468353,18,16,0,0,0
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,BOT,83.244,4.725999999999999,5,75.5079559444359,60.62499999999999,13.593749999999998,11.40625,7,10560.952415400221,11953.0,5.7078125,33,1.3959311424100156,19,19,0,1,0
2026_Australian_Grand_Prix_Qualifying,2026,Australian Grand Prix,Qualifying,VER,102.025,23.507000000000005,1,52.36975254039159,25.925925925925924,18.106995884773664,15.912208504801098,6,10569.685595514531,12465.0,4.502057613168724,51,1.1332417582417582,20,6,0,0,0
2026_Barcelona_Grand_Prix_Qualifying,2026,Barcelona Grand Prix,Qualifying,RUS,74.679,0.0,9,72.66960076323073,59.82142857142857,17.5,13.392857142857142,7,10843.317048166711,12583.0,5.392857142857143,33,1.3559928443649374,1,2,1,0,1
2026_Barcelona_Grand_Prix_Qualifying,2026,Barcelona Grand Prix,Qualifying,HAM,74.743,0.06399999999999295,8,74.42092595582359,54.86725663716814,10.265486725663717,13.097345132743362,6,10763.58212775817,12490.0,5.647787610619469,31,1.3581560283687943,2,1,1,0,1
2026_Barcelona_Grand_Prix_Qualifying,2026,Barcelona Grand Prix,Qualifying,ANT,74.998,0.3190000000000026,9,71.93972877847256,55.296229802513466,15.439856373429084,14.721723518850988,6,10943.271465752074,13098.0,5.204667863554757,32,1.3507194244604317,3,16,0,1,0
2026_Barcelona_Grand_Prix_Qualifying,2026,Barcelona Grand Prix,Qualifying,NOR,75.001,0.32200000000000273,7,67.45385621009507,50.0,18.613138686131386,14.5985401459854,6,10925.485825989304,12426.0,5.762773722627737,37,1.4972577696526508,4,3,1,0,1
2026_Barcelona_Grand_Prix_Qualifying,2026,Barcelona Grand Prix,Qualifying,VER,75.021,0.34199999999999875,6,66.07820534168034,50.80789946140036,18.13285457809695,14.542190305206462,7,10833.866602327947,12193.0,5.481149012567325,34,1.606115107913669,5,4,0,0,0
